SEQ_NAME	START	END	STRAND	FEATURE_NAME	GENE_NAME	ALIASES	DESCRIPTION	TXN_START	TXN_END	CDS_START	CDS_END	EXON_COUNT	EXON_STARTS	EXON_ENDS	ISOFORM_NAME	IS_PRIMARY
NC_000913.2	21407	22348	+	b0025	ribF	 	bifunctional	21407	22348	21407	22348	1	21407	22348	 	Y
NC_000913.2	22391	25207	+	b0026	ileS	 	isoleucyl-tRNA	22391	25207	22391	25207	1	22391	25207	 	Y
NC_000913.2	25207	25701	+	b0027	lspA	 	prolipoprotein	25207	25701	25207	25701	1	25207	25701	 	Y
NC_000913.2	25826	26275	+	b0028	fkpB	 	FKBP-type	25826	26275	25826	26275	1	25826	26275	 	Y
NC_000913.2	26277	27227	+	b0029	ispH	 	4-hydroxy-3-methylbut-2-enyl	26277	27227	26277	27227	1	26277	27227	 	Y
NC_000913.2	27293	28207	+	b0030	rihC	 	ribonucleoside	27293	28207	27293	28207	1	27293	28207	 	Y
NC_000913.2	28374	29195	+	b0031	dapB	 	dihydrodipicolinate	28374	29195	28374	29195	1	28374	29195	 	Y
NC_000913.2	29651	30799	+	b0032	carA	 	carbamoyl	29651	30799	29651	30799	1	29651	30799	 	Y
NC_000913.2	30817	34038	+	b0033	carB	 	carbamoyl-phosphate	30817	34038	30817	34038	1	30817	34038	 	Y
NC_000913.2	34300	34695	+	b0034	caiF	 	DNA-binding	34300	34695	34300	34695	1	34300	34695	 	Y
NC_000913.2	34781	35371	-	b0035	caiE	 	stimulator	34781	35371	34781	35371	1	34781	35371	 	Y
NC_000913.2	35377	36162	-	b0036	caiD	 	carnitinyl-CoA	35377	36162	35377	36162	1	35377	36162	 	Y
NC_000913.2	36271	37824	-	b0037	caiC	 	probable	36271	37824	36271	37824	1	36271	37824	 	Y
NC_000913.2	37898	39115	-	b0038	caiB	 	crotonobetainyl	37898	39115	37898	39115	1	37898	39115	 	Y
NC_000913.2	39244	40386	-	b0039	caiA	 	crotonobetaine	39244	40386	39244	40386	1	39244	40386	 	Y
NC_000913.2	40417	41931	-	b0040	caiT	 	predicted	40417	41931	40417	41931	1	40417	41931	 	Y
NC_000913.2	42403	43173	+	b0041	fixA	 	predicted	42403	43173	42403	43173	1	42403	43173	 	Y
NC_000913.2	43188	44129	+	b0042	fixB	 	predicted	43188	44129	43188	44129	1	43188	44129	 	Y
NC_000913.2	44180	45466	+	b0043	fixC	 	predicted	44180	45466	44180	45466	1	44180	45466	 	Y
NC_000913.2	45463	45750	+	b0044	fixX	 	predicted	45463	45750	45463	45750	1	45463	45750	 	Y
NC_000913.2	45807	47138	+	b0045	yaaU	 	predicted	45807	47138	45807	47138	1	45807	47138	 	Y
NC_000913.2	47246	47776	+	b0046	kefF	 	flavoprotein	47246	47776	47246	47776	1	47246	47776	 	Y
NC_000913.2	47769	49631	+	b0047	kefC	 	potassium:proton	47769	49631	47769	49631	1	47769	49631	 	Y
NC_000913.2	49823	50302	+	b0048	folA	 	dihydrofolate	49823	50302	49823	50302	1	49823	50302	 	Y
NC_000913.2	50380	51222	-	b0049	apaH	 	diadenosine	50380	51222	50380	51222	1	50380	51222	 	Y
NC_000913.2	51229	51606	-	b0050	apaG	 	protein	51229	51606	51229	51606	1	51229	51606	 	Y
NC_000913.2	51609	52430	-	b0051	rsmA	 	16S	51609	52430	51609	52430	1	51609	52430	 	Y
NC_000913.2	52427	53416	-	b0052	pdxA	 	4-hydroxy-L-threonine	52427	53416	52427	53416	1	52427	53416	 	Y
NC_000913.2	53416	54702	-	b0053	surA	 	peptidyl-prolyl	53416	54702	53416	54702	1	53416	54702	 	Y
NC_000913.2	54755	57109	-	b0054	lptD	 	LPS	54755	57109	54755	57109	1	54755	57109	 	Y
NC_000913.2	57364	58179	+	b0055	djlA	 	DnaJ-like	57364	58179	57364	58179	1	57364	58179	 	Y
NC_000913.2	59687	60346	-	b0058	rluA	 	pseudouridine	59687	60346	59687	60346	1	59687	60346	 	Y
NC_000913.2	60358	63264	-	b0059	rapA	 	RNA	60358	63264	60358	63264	1	60358	63264	 	Y
NC_000913.2	63429	65780	-	b0060	polB	 	DNA	63429	65780	63429	65780	1	63429	65780	 	Y
NC_000913.2	65855	66550	-	b0061	araD	 	L-ribulose-5-phosphate	65855	66550	65855	66550	1	65855	66550	 	Y
NC_000913.2	66835	68337	-	b0062	araA	 	L-arabinose	66835	68337	66835	68337	1	66835	68337	 	Y
NC_000913.2	68348	70048	-	b0063	araB	 	L-ribulokinase	68348	70048	68348	70048	1	68348	70048	 	Y
NC_000913.2	70387	71265	+	b0064	araC	 	DNA-binding	70387	71265	70387	71265	1	70387	71265	 	Y
NC_000913.2	71351	72115	+	b0065	yabI	 	inner	71351	72115	71351	72115	1	71351	72115	 	Y
NC_000913.2	72229	72927	-	b0066	thiQ	 	thiamin	72229	72927	72229	72927	1	72229	72927	 	Y
NC_000913.2	72911	74521	-	b0067	thiP	 	fused	72911	74521	72911	74521	1	72911	74521	 	Y
NC_000913.2	74497	75480	-	b0068	thiB	 	thiamin	74497	75480	74497	75480	1	74497	75480	 	Y
NC_000913.2	75644	77299	-	b0069	sgrR	 	transcriptional	75644	77299	75644	77299	1	75644	77299	 	Y
NC_000913.2	77388	77519	+	b4662	sgrT	 	Inhibitor	77388	77519	77388	77519	1	77388	77519	 	Y
NC_000913.2	77621	78799	+	b0070	setA	 	broad	77621	78799	77621	78799	1	77621	78799	 	Y
NC_000913.2	78848	79453	-	b0071	leuD	 	3-isopropylmalate	78848	79453	78848	79453	1	78848	79453	 	Y
NC_000913.2	79464	80864	-	b0072	leuC	 	3-isopropylmalate	79464	80864	79464	80864	1	79464	80864	 	Y
NC_000913.2	80867	81958	-	b0073	leuB	 	3-isopropylmalate	80867	81958	80867	81958	1	80867	81958	 	Y
NC_000913.2	81958	83529	-	b0074	leuA	 	2-isopropylmalate	81958	83529	81958	83529	1	81958	83529	 	Y
NC_000913.2	83622	83708	-	b0075	leuL	 	leu	83622	83708	83622	83708	1	83622	83708	 	Y
NC_000913.2	84368	85312	+	b0076	leuO	 	DNA-binding	84368	85312	84368	85312	1	84368	85312	 	Y
NC_000913.2	85630	87354	+	b0077	ilvI	 	acetolactate	85630	87354	85630	87354	1	85630	87354	 	Y
NC_000913.2	87357	87848	+	b0078	ilvH	 	acetolactate	87357	87848	87357	87848	1	87357	87848	 	Y
NC_000913.2	88028	89032	+	b0080	fruR	 	DNA-binding	88028	89032	88028	89032	1	88028	89032	 	Y
NC_000913.2	89634	90092	+	b0081	mraZ	 	conserved	89634	90092	89634	90092	1	89634	90092	 	Y
NC_000913.2	90094	91035	+	b0082	rsmH	 	16S	90094	91035	90094	91035	1	90094	91035	 	Y
NC_000913.2	91032	91397	+	b0083	ftsL	 	membrane	91032	91397	91032	91397	1	91032	91397	 	Y
NC_000913.2	91413	93179	+	b0084	ftsI	 	transpeptidase	91413	93179	91413	93179	1	91413	93179	 	Y
NC_000913.2	93166	94653	+	b0085	murE	 	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate	93166	94653	93166	94653	1	93166	94653	 	Y
NC_000913.2	94650	96008	+	b0086	murF	 	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine	94650	96008	94650	96008	1	94650	96008	 	Y
NC_000913.2	96002	97084	+	b0087	mraY	 	phospho-N-acetylmuramoyl-pentapeptide	96002	97084	96002	97084	1	96002	97084	 	Y
NC_000913.2	97087	98403	+	b0088	murD	 	UDP-N-acetylmuramoyl-L-alanine:D-glutamate	97087	98403	97087	98403	1	97087	98403	 	Y
NC_000913.2	98403	99647	+	b0089	ftsW	 	integral	98403	99647	98403	99647	1	98403	99647	 	Y
NC_000913.2	99644	100711	+	b0090	murG	 	N-acetylglucosaminyl	99644	100711	99644	100711	1	99644	100711	 	Y
NC_000913.2	100765	102240	+	b0091	murC	 	UDP-N-acetylmuramate:L-alanine	100765	102240	100765	102240	1	100765	102240	 	Y
NC_000913.2	102233	103153	+	b0092	ddlB	 	D-alanine:D-alanine	102233	103153	102233	103153	1	102233	103153	 	Y
NC_000913.2	103155	103985	+	b0093	ftsQ	 	Divisome	103155	103985	103155	103985	1	103155	103985	 	Y
NC_000913.2	103982	105244	+	b0094	ftsA	 	ATP-binding	103982	105244	103982	105244	1	103982	105244	 	Y
NC_000913.2	105305	106456	+	b0095	ftsZ	 	GTP-binding	105305	106456	105305	106456	1	105305	106456	 	Y
NC_000913.2	106557	107474	+	b0096	lpxC	 	UDP-3-O-acyl	106557	107474	106557	107474	1	106557	107474	 	Y
NC_000913.2	107705	108217	+	b0097	secM	 	regulator	107705	108217	107705	108217	1	107705	108217	 	Y
NC_000913.2	108279	110984	+	b0098	secA	 	preprotein	108279	110984	108279	110984	1	108279	110984	 	Y
NC_000913.2	111044	111433	+	b0099	mutT	 	nucleoside	111044	111433	111044	111433	1	111044	111433	 	Y
NC_000913.2	111649	111846	-	b0101	yacG	 	DNA	111649	111846	111649	111846	1	111649	111846	 	Y
NC_000913.2	111856	112599	-	b0102	yacF	 	conserved	111856	112599	111856	112599	1	111856	112599	 	Y
NC_000913.2	112599	113219	-	b0103	coaE	 	dephospho-CoA	112599	113219	112599	113219	1	112599	113219	 	Y
NC_000913.2	113444	114487	+	b0104	guaC	 	GMP	113444	114487	113444	114487	1	113444	114487	 	Y
NC_000913.2	114522	115724	-	b0106	hofC	 	assembly	114522	115724	114522	115724	1	114522	115724	 	Y
NC_000913.2	115714	117099	-	b0107	hofB	 	conserved	115714	117099	115714	117099	1	115714	117099	 	Y
NC_000913.2	117109	117549	-	b0108	ppdD	 	predicted	117109	117549	117109	117549	1	117109	117549	 	Y
NC_000913.2	117752	118645	-	b0109	nadC	 	quinolinate	117752	118645	117752	118645	1	117752	118645	 	Y
NC_000913.2	118733	119284	+	b0110	ampD	 	1,6-anhydro-N-acetylmuramyl-L-alanine	118733	119284	118733	119284	1	118733	119284	 	Y
NC_000913.2	119281	120135	+	b0111	ampE	 	predicted	119281	120135	119281	120135	1	119281	120135	 	Y
NC_000913.2	120178	121551	-	b0112	aroP	 	aromatic	120178	121551	120178	121551	1	120178	121551	 	Y
NC_000913.2	122092	122856	+	b0113	pdhR	 	DNA-binding	122092	122856	122092	122856	1	122092	122856	 	Y
NC_000913.2	123017	125680	+	b0114	aceE	 	pyruvate	123017	125680	123017	125680	1	123017	125680	 	Y
NC_000913.2	125695	127587	+	b0115	aceF	 	pyruvate	125695	127587	125695	127587	1	125695	127587	 	Y
NC_000913.2	127912	129336	+	b0116	lpd	 	lipoamide	127912	129336	127912	129336	1	127912	129336	 	Y
NC_000913.2	129407	131260	-	b0117	yacH	 	predicted	129407	131260	129407	131260	1	129407	131260	 	Y
NC_000913.2	131615	134212	+	b0118	acnB	 	bifunctional	131615	134212	131615	134212	1	131615	134212	 	Y
NC_000913.2	134388	134750	+	b0119	yacL	 	conserved	134388	134750	134388	134750	1	134388	134750	 	Y
NC_000913.2	134788	135582	-	b0120	speD	 	S-adenosylmethionine	134788	135582	134788	135582	1	134788	135582	 	Y
NC_000913.2	135598	136464	-	b0121	speE	 	spermidine	135598	136464	135598	136464	1	135598	136464	 	Y
NC_000913.2	136570	136917	-	b0122	yacC	 	conserved	136570	136917	136570	136917	1	136570	136917	 	Y
NC_000913.2	137083	138633	+	b0123	cueO	 	multicopper	137083	138633	137083	138633	1	137083	138633	 	Y
NC_000913.2	138835	141225	-	b0124	gcd	 	glucose	138835	141225	138835	141225	1	138835	141225	 	Y
NC_000913.2	141431	141967	+	b0125	hpt	 	hypoxanthine	141431	141967	141431	141967	1	141431	141967	 	Y
NC_000913.2	142008	142670	-	b0126	can	 	carbonic	142008	142670	142008	142670	1	142008	142670	 	Y
NC_000913.2	142779	143705	+	b0127	yadG	 	predicted	142779	143705	142779	143705	1	142779	143705	 	Y
NC_000913.2	143702	144472	+	b0128	yadH	 	predicted	143702	144472	143702	144472	1	143702	144472	 	Y
NC_000913.2	144577	145017	+	b0129	yadI	 	predicted	144577	145017	144577	145017	1	144577	145017	 	Y
NC_000913.2	145081	146310	+	b0130	yadE	 	predicted	145081	146310	145081	146310	1	145081	146310	 	Y
NC_000913.2	146314	146694	-	b0131	panD	 	aspartate	146314	146694	146314	146694	1	146314	146694	 	Y
NC_000913.2	146968	147870	+	b0132	yadD	 	predicted	146968	147870	146968	147870	1	146968	147870	 	Y
NC_000913.2	147944	148795	-	b0133	panC	 	pantothenate	147944	148795	147944	148795	1	147944	148795	 	Y
NC_000913.2	148807	149601	-	b0134	panB	 	3-methyl-2-oxobutanoate	148807	149601	148807	149601	1	148807	149601	 	Y
NC_000913.2	149715	150953	-	b0135	yadC	 	predicted	149715	150953	149715	150953	1	149715	150953	 	Y
NC_000913.2	151003	151599	-	b0136	yadK	 	predicted	151003	151599	151003	151599	1	151003	151599	 	Y
NC_000913.2	151626	152231	-	b0137	yadL	 	predicted	151626	152231	151626	152231	1	151626	152231	 	Y
NC_000913.2	152243	152812	-	b0138	yadM	 	predicted	152243	152812	152243	152812	1	152243	152812	 	Y
NC_000913.2	152829	155426	-	b0139	htrE	 	predicted	152829	155426	152829	155426	1	152829	155426	 	Y
NC_000913.2	155461	156201	-	b0140	ecpD	 	predicted	155461	156201	155461	156201	1	155461	156201	 	Y
NC_000913.2	156299	156883	-	b0141	yadN	 	predicted	156299	156883	156299	156883	1	156299	156883	 	Y
NC_000913.2	157253	157732	-	b0142	folK	 	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine	157253	157732	157253	157732	1	157253	157732	 	Y
NC_000913.2	157729	159126	-	b0143	pcnB	 	poly(A)	157729	159126	157729	159126	1	157729	159126	 	Y
NC_000913.2	159186	160112	-	b0144	yadB	 	glutamyl-Q	159186	160112	159186	160112	1	159186	160112	 	Y
NC_000913.2	160149	160604	-	b0145	dksA	 	DNA-binding	160149	160604	160149	160604	1	160149	160604	 	Y
NC_000913.2	160782	161486	-	b0146	sfsA	 	predicted	160782	161486	160782	161486	1	160782	161486	 	Y
NC_000913.2	161501	162031	-	b0147	ligT	 	2'-5'	161501	162031	161501	162031	1	161501	162031	 	Y
NC_000913.2	162105	164534	+	b0148	hrpB	 	predicted	162105	164534	162105	164534	1	162105	164534	 	Y
NC_000913.2	164730	167264	+	b0149	mrcB	 	fused	164730	167264	164730	167264	1	164730	167264	 	Y
NC_000913.2	167484	169727	+	b0150	fhuA	 	ferrichrome	167484	169727	167484	169727	1	167484	169727	 	Y
NC_000913.2	169778	170575	+	b0151	fhuC	 	iron-hydroxamate	169778	170575	169778	170575	1	169778	170575	 	Y
NC_000913.2	170575	171465	+	b0152	fhuD	 	iron-hydroxamate	170575	171465	170575	171465	1	170575	171465	 	Y
NC_000913.2	171462	173444	+	b0153	fhuB	 	fused	171462	173444	171462	173444	1	171462	173444	 	Y
NC_000913.2	173602	174882	-	b0154	hemL	 	glutamate-1-semialdehyde	173602	174882	173602	174882	1	173602	174882	 	Y
NC_000913.2	175107	176528	+	b0155	clcA	 	chloride	175107	176528	175107	176528	1	175107	176528	 	Y
NC_000913.2	176610	176954	+	b0156	erpA	 	iron-sulfur	176610	176954	176610	176954	1	176610	176954	 	Y
NC_000913.2	177001	177624	-	b0157	yadS	 	inner	177001	177624	177001	177624	1	177001	177624	 	Y
NC_000913.2	177662	178462	-	b0158	btuF	 	vitamin	177662	178462	177662	178462	1	177662	178462	 	Y
NC_000913.2	178455	179153	-	b0159	mtn	 	5'-methylthioadenosine/S-adenosylhomocysteine	178455	179153	178455	179153	1	178455	179153	 	Y
NC_000913.2	179237	180754	+	b0160	dgt	 	deoxyguanosine	179237	180754	179237	180754	1	179237	180754	 	Y
NC_000913.2	180884	182308	+	b0161	degP	 	serine	180884	182308	180884	182308	1	180884	182308	 	Y
NC_000913.2	182463	183620	+	b0162	cdaR	 	DNA-binding	182463	183620	182463	183620	1	182463	183620	 	Y
NC_000913.2	183709	184095	-	b0163	yaeH	 	conserved	183709	184095	183709	184095	1	183709	184095	 	Y
NC_000913.2	184257	185069	-	b0164	yaeI	 	phosphodiesterase	184257	185069	184257	185069	1	184257	185069	 	Y
NC_000913.2	185123	185947	-	b0166	dapD	 	2,3,4,5-tetrahydropyridine-2-carboxylate	185123	185947	185123	185947	1	185123	185947	 	Y
NC_000913.2	185978	188650	-	b0167	glnD	 	uridylyltransferase	185978	188650	185978	188650	1	185978	188650	 	Y
NC_000913.2	188712	189506	-	b0168	map	 	methionine	188712	189506	188712	189506	1	188712	189506	 	Y
NC_000913.2	189874	190599	+	b0169	rpsB	 	30S	189874	190599	189874	190599	1	189874	190599	 	Y
NC_000913.2	190857	191708	+	b0170	tsf	 	protein	190857	191708	190857	191708	1	190857	191708	 	Y
NC_000913.2	191855	192580	+	b0171	pyrH	 	uridylate	191855	192580	191855	192580	1	191855	192580	 	Y
NC_000913.2	192872	193429	+	b0172	frr	 	ribosome	192872	193429	192872	193429	1	192872	193429	 	Y
NC_000913.2	193521	194717	+	b0173	dxr	 	1-deoxy-D-xylulose	193521	194717	193521	194717	1	193521	194717	 	Y
NC_000913.2	194903	195664	+	b0174	ispU	 	undecaprenyl	194903	195664	194903	195664	1	194903	195664	 	Y
NC_000913.2	195677	196534	+	b0175	cdsA	 	CDP-diglyceride	195677	196534	195677	196534	1	195677	196534	 	Y
NC_000913.2	196546	197898	+	b0176	rseP	 	inner	196546	197898	196546	197898	1	196546	197898	 	Y
NC_000913.2	197928	200360	+	b0177	bamA	 	outer	197928	200360	197928	200360	1	197928	200360	 	Y
NC_000913.2	200482	200967	+	b0178	skp	 	periplasmic	200482	200967	200482	200967	1	200482	200967	 	Y
NC_000913.2	200971	201996	+	b0179	lpxD	 	UDP-3-O-(3-hydroxymyristoyl)-glucosamine	200971	201996	200971	201996	1	200971	201996	 	Y
NC_000913.2	202101	202556	+	b0180	fabZ	 	(3R)-hydroxymyristol	202101	202556	202101	202556	1	202101	202556	 	Y
NC_000913.2	202560	203348	+	b0181	lpxA	 	UDP-N-acetylglucosamine	202560	203348	202560	203348	1	202560	203348	 	Y
NC_000913.2	203348	204496	+	b0182	lpxB	 	tetraacyldisaccharide-1-P	203348	204496	203348	204496	1	203348	204496	 	Y
NC_000913.2	204493	205089	+	b0183	rnhB	 	ribonuclease	204493	205089	204493	205089	1	204493	205089	 	Y
NC_000913.2	205126	208608	+	b0184	dnaE	 	DNA	205126	208608	205126	208608	1	205126	208608	 	Y
NC_000913.2	208621	209580	+	b0185	accA	 	acetyl-CoA	208621	209580	208621	209580	1	208621	209580	 	Y
NC_000913.2	209679	211820	+	b0186	ldcC	 	lysine	209679	211820	209679	211820	1	209679	211820	 	Y
NC_000913.2	211877	212266	+	b0187	yaeR	 	predicted	211877	212266	211877	212266	1	211877	212266	 	Y
NC_000913.2	212331	213629	+	b0188	tilS	 	tRNA(Ile)-lysidine	212331	213629	212331	213629	1	212331	213629	 	Y
NC_000913.2	213678	213932	-	b0189	rof	 	modulator	213678	213932	213678	213932	1	213678	213932	 	Y
NC_000913.2	213925	214125	-	b4406	yaeP	 	conserved	213925	214125	213925	214125	1	213925	214125	 	Y
NC_000913.2	214291	214836	+	b0190	yaeQ	 	conserved	214291	214836	214291	214836	1	214291	214836	 	Y
NC_000913.2	214833	215255	+	b0191	yaeJ	 	conserved	214833	215255	214833	215255	1	214833	215255	 	Y
NC_000913.2	215269	215979	+	b0192	nlpE	 	lipoprotein	215269	215979	215269	215979	1	215269	215979	 	Y
NC_000913.2	216179	217003	-	b0193	yaeF	 	predicted	216179	217003	216179	217003	1	216179	217003	 	Y
NC_000913.2	217057	218775	-	b0194	proS	 	prolyl-tRNA	217057	218775	217057	218775	1	217057	218775	 	Y
NC_000913.2	218887	219594	-	b0195	yaeB	 	conserved	218887	219594	218887	219594	1	218887	219594	 	Y
NC_000913.2	219591	219995	-	b0196	rcsF	 	predicted	219591	219995	219591	219995	1	219591	219995	 	Y
NC_000913.2	220113	220928	-	b0197	metQ	 	DL-methionine	220113	220928	220113	220928	1	220113	220928	 	Y
NC_000913.2	220968	221621	-	b0198	metI	 	DL-methionine	220968	221621	220968	221621	1	220968	221621	 	Y
NC_000913.2	221614	222645	-	b0199	metN	 	DL-methionine	221614	222645	221614	222645	1	221614	222645	 	Y
NC_000913.2	222833	223408	+	b0200	gmhB	 	D,D-heptose	222833	223408	222833	223408	1	222833	223408	 	Y
NC_000913.2	229167	229970	+	b0207	dkgB	 	2,5-diketo-D-gluconate	229167	229970	229167	229970	1	229167	229970	 	Y
NC_000913.2	229967	230881	-	b0208	yafC	 	predicted	229967	230881	229967	230881	1	229967	230881	 	Y
NC_000913.2	231122	231922	+	b0209	yafD	 	conserved	231122	231922	231122	231922	1	231122	231922	 	Y
NC_000913.2	231926	232549	+	b0210	yafE	 	predicted	231926	232549	231926	232549	1	231926	232549	 	Y
NC_000913.2	232597	233955	-	b0211	mltD	 	predicted	232597	233955	232597	233955	1	232597	233955	 	Y
NC_000913.2	234027	234782	-	b0212	gloB	 	hydroxyacylglutathione	234027	234782	234027	234782	1	234027	234782	 	Y
NC_000913.2	234816	235538	+	b0213	yafS	 	predicted	234816	235538	234816	235538	1	234816	235538	 	Y
NC_000913.2	235535	236002	-	b0214	rnhA	 	ribonuclease	235535	236002	235535	236002	1	235535	236002	 	Y
NC_000913.2	236067	236798	+	b0215	dnaQ	 	DNA	236067	236798	236067	236798	1	236067	236798	 	Y
NC_000913.2	237335	238120	+	b0217	yafT	 	lipoprotein	237335	238120	237335	238120	1	237335	238120	 	Y
NC_000913.2	238257	238736	-	b4586	ykfM	 	hypothetical	238257	238736	238257	238736	1	238257	238736	 	Y
NC_000913.2	239419	240189	-	b0219	yafV	 	predicted	239419	240189	239419	240189	1	239419	240189	 	Y
NC_000913.2	240343	240816	+	b0220	ivy	 	inhibitor	240343	240816	240343	240816	1	240343	240816	 	Y
NC_000913.2	240859	243303	-	b0221	fadE	 	acyl	240859	243303	240859	243303	1	240859	243303	 	Y
NC_000913.2	243543	244121	+	b0222	lpcA	 	D-sedoheptulose	243543	244121	243543	244121	1	243543	244121	 	Y
NC_000913.2	244327	245094	+	b0223	yafJ	 	predicted	244327	245094	244327	245094	1	244327	245094	 	Y
NC_000913.2	245065	245805	-	b0224	yafK	 	conserved	245065	245805	245065	245805	1	245065	245805	 	Y
NC_000913.2	245961	246239	-	b0225	yafQ	 	translation	245961	246239	245961	246239	1	245961	246239	 	Y
NC_000913.2	246242	246502	-	b0226	dinJ	 	antitoxin	246242	246502	246242	246502	1	246242	246502	 	Y
NC_000913.2	246712	247461	+	b0227	yafL	 	predicted	246712	247461	246712	247461	1	246712	247461	 	Y
NC_000913.2	247637	248134	+	b0228	yafM	 	conserved	247637	248134	247637	248134	1	247637	248134	 	Y
NC_000913.2	250898	251953	+	b0231	dinB	 	DNA	250898	251953	250898	251953	1	250898	251953	 	Y
NC_000913.2	252005	252298	+	b0232	yafN	 	antitoxin	252005	252298	252005	252298	1	252005	252298	 	Y
NC_000913.2	252301	252699	+	b0233	yafO	 	mRNA	252301	252699	252301	252699	1	252301	252699	 	Y
NC_000913.2	252709	253161	+	b0234	yafP	 	predicted	252709	253161	252709	253161	1	252709	253161	 	Y
NC_000913.2	254259	255716	-	b0237	pepD	 	aminoacyl-histidine	254259	255716	254259	255716	1	254259	255716	 	Y
NC_000913.2	255977	256435	+	b0238	gpt	 	guanine-hypoxanthine	255977	256435	255977	256435	1	255977	256435	 	Y
NC_000913.2	256527	257771	+	b0239	frsA	 	fermentation-respiration	256527	257771	256527	257771	1	256527	257771	 	Y
NC_000913.2	257829	258230	+	b0240	crl	 	sigma	257829	258230	257829	258230	1	257829	258230	 	Y
NC_000913.2	258269	259324	-	b0241	phoE	 	outer	258269	259324	258269	259324	1	258269	259324	 	Y
NC_000913.2	259612	260715	+	b0242	proB	 	gamma-glutamate	259612	260715	259612	260715	1	259612	260715	 	Y
NC_000913.2	260727	261980	+	b0243	proA	 	gamma-glutamylphosphate	260727	261980	260727	261980	1	260727	261980	 	Y
NC_000913.2	262552	262893	-	b0245	ykfI	 	CP4-6	262552	262893	262552	262893	1	262552	262893	 	Y
NC_000913.2	262914	263231	-	b0246	yafW	 	CP4-6	262914	263231	262914	263231	1	262914	263231	 	Y
NC_000913.2	263250	263471	-	b4504	ykfH	 	predicted	263250	263471	263250	263471	1	263250	263471	 	Y
NC_000913.2	263480	263956	-	b0247	ykfG	 	CP4-6	263480	263956	263480	263956	1	263480	263956	 	Y
NC_000913.2	263972	264430	-	b0248	yafX	 	CP4-6	263972	264430	263972	264430	1	263972	264430	 	Y
NC_000913.2	264528	264767	-	b0249	ykfF	 	CP4-6	264528	264767	264528	264767	1	264528	264767	 	Y
NC_000913.2	264844	265311	-	b0250	ykfB	 	CP4-6	264844	265311	264844	265311	1	264844	265311	 	Y
NC_000913.2	265334	265777	-	b0251	yafY	 	lipoprotein,	265334	265777	265334	265777	1	265334	265777	 	Y
