gene_name	length
BN877_I0187_locusTag_BN877_I0187	1641
BN877_I0188_locusTag_BN877_I0188	1248
BN877_I0189_locusTag_BN877_I0189	1362
puuB_locusTag_BN877_I0190	1302
puuB_locusTag_BN877_I0191	510
yehW_locusTag_BN877_I0192	741
yehW_locusTag_BN877_I0193	939
yehY_locusTag_BN877_I0194	1167
yehZ_locusTag_BN877_I0195	912
BN877_I0196_locusTag_BN877_I0196	1047
aau_locusTag_BN877_I0197	471
BN877_I0198_locusTag_BN877_I0198	201
futA_locusTag_BN877_I0199	1050
mmsa_locusTag_BN877_I0200	1497
BN877_I0201_locusTag_BN877_I0201	882
BN877_I0202_locusTag_BN877_I0202	927
BN877_I0203_locusTag_BN877_I0203	213
BN877_I0204_locusTag_BN877_I0204	1107
BN877_I0205_locusTag_BN877_I0205	345
BN877_I0206_locusTag_BN877_I0206	852
BN877_I0207_locusTag_BN877_I0207	360
pncB_locusTag_BN877_I0208	1305
BN877_I0209_locusTag_BN877_I0209	1395
BN877_I0210_locusTag_BN877_I0210	825
BN877_I0211_locusTag_BN877_I0211	987
BN877_I0212_locusTag_BN877_I0212	1005
BN877_I0213_locusTag_BN877_I0213	1467
BN877_I0214_locusTag_BN877_I0214	1284
BN877_I0215_locusTag_BN877_I0215	681
BN877_I0216_locusTag_BN877_I0216	1584
BN877_I0217_locusTag_BN877_I0217	807
BN877_I0218_locusTag_BN877_I0218	513
BN877_I0219_locusTag_BN877_I0219	186
BN877_I0220_locusTag_BN877_I0220	411
BN877_I0221_locusTag_BN877_I0221	171
BN877_ItRNA40_locusTag_BN877_ItRNA40	87
BN877_I0223_locusTag_BN877_I0223	309
BN877_I0224_locusTag_BN877_I0224	450
BN877_I0225_locusTag_BN877_I0225	699
BN877_I0227_locusTag_BN877_I0227	249
BN877_I0228_locusTag_BN877_I0228	84
BN877_I0229_locusTag_BN877_I0229	195
BN877_I0230_locusTag_BN877_I0230	1098
BN877_I0231_locusTag_BN877_I0231	876
BN877_I0232_locusTag_BN877_I0232	1431
BN877_I0233_locusTag_BN877_I0233	381
BN877_I0234_locusTag_BN877_I0234	459
BN877_I0235_locusTag_BN877_I0235	888
BN877_I0236_locusTag_BN877_I0236	777
BN877_I0238_locusTag_BN877_I0238	408
lepA_locusTag_BN877_I0239	1827
BN877_I0240_locusTag_BN877_I0240	870
BN877_I0241_locusTag_BN877_I0241	615
BN877_I0242_locusTag_BN877_I0242	402
BN877_I0243_locusTag_BN877_I0243	582
ttr_locusTag_BN877_I0244	519
BN877_I0245_locusTag_BN877_I0245	1074
BN877_I0246_locusTag_BN877_I0246	1104
BN877_I0247_locusTag_BN877_I0247	1104
BN877_I0248_locusTag_BN877_I0248	474
BN877_I0249_locusTag_BN877_I0249	984
BN877_I0250_locusTag_BN877_I0250	615
BN877_I0251_locusTag_BN877_I0251	789
infC_locusTag_BN877_I0252	423
rpmI_locusTag_BN877_I0253	204
rplT_locusTag_BN877_I0254	405
BN877_I0255_locusTag_BN877_I0255	879
pheS_locusTag_BN877_I0256	1083
pheT_locusTag_BN877_I0257	2424
BN877_I0258_locusTag_BN877_I0258	1002
BN877_I0259_locusTag_BN877_I0259	891
BN877_I0260_locusTag_BN877_I0260	444
BN877_I0261_locusTag_BN877_I0261	951
BN877_I0262_locusTag_BN877_I0262	984
BN877_I0263_locusTag_BN877_I0263	594
BN877_I0264_locusTag_BN877_I0264	984
BN877_I0265_locusTag_BN877_I0265	453
BN877_I0266_locusTag_BN877_I0266	243
BN877_I0267_locusTag_BN877_I0267	1599
BN877_I0268_locusTag_BN877_I0268	1203
BN877_I0269_locusTag_BN877_I0269	708
pecS_locusTag_BN877_I0270	504
pecM_locusTag_BN877_I0271	864
BN877_I0272_locusTag_BN877_I0272	1239
BN877_I0273_locusTag_BN877_I0273	477
BN877_I0274_locusTag_BN877_I0274	348
BN877_I0275_locusTag_BN877_I0275	168
BN877_I0276_locusTag_BN877_I0276	717
BN877_I0277_locusTag_BN877_I0277	387
BN877_I0278_locusTag_BN877_I0278	579
BN877_I0279_locusTag_BN877_I0279	489
guaA1_locusTag_BN877_I0280	1578
BN877_I0281_locusTag_BN877_I0281	639
BN877_I0282_locusTag_BN877_I0282	450
tspO_locusTag_BN877_I0283	453
BN877_I0284_locusTag_BN877_I0284	1110
BN877_I0285_locusTag_BN877_I0285	1122
BN877_I0286_locusTag_BN877_I0286	1524
BN877_I0287_locusTag_BN877_I0287	1278
BN877_I0288_locusTag_BN877_I0288	1290
BN877_I0289_locusTag_BN877_I0289	366
BN877_I0290_locusTag_BN877_I0290	873
BN877_I0291_locusTag_BN877_I0291	1212
BN877_I0292_locusTag_BN877_I0292	693
bacA1_locusTag_BN877_I0293	807
BN877_I0294_locusTag_BN877_I0294	156
BN877_I0295_locusTag_BN877_I0295	981
BN877_I0296_locusTag_BN877_I0296	288
pyrF_locusTag_BN877_I0297	708
BN877_I0298_locusTag_BN877_I0298	603
pmtA_locusTag_BN877_I0299	594
dnaN_locusTag_BN877_I0300	1119
BN877_I0301_locusTag_BN877_I0301	942
BN877_I0302_locusTag_BN877_I0302	369
nodL_locusTag_BN877_I0303	561
BN877_I0304_locusTag_BN877_I0304	1299
BN877_I0305_locusTag_BN877_I0305	969
BN877_I0306_locusTag_BN877_I0306	858
BN877_I0307_locusTag_BN877_I0307	1101
BN877_I0308_locusTag_BN877_I0308	192
BN877_I0309_locusTag_BN877_I0309	513
gshB_locusTag_BN877_I0310	960
BN877_I0311_locusTag_BN877_I0311	1533
cysK_locusTag_BN877_I0312	969
BN877_I0313_locusTag_BN877_I0313	675
dut_locusTag_BN877_I0314	471
prfC_locusTag_BN877_I0315	1584
coaBC_locusTag_BN877_I0316	1206
coaBC_locusTag_BN877_I0317	375
BN877_I0318_locusTag_BN877_I0318	915
ubiB_locusTag_BN877_I0319	1575
ubiE_locusTag_BN877_I0320	777
mutM_locusTag_BN877_I0321	897
BN877_I0322_locusTag_BN877_I0322	774
rpsT_locusTag_BN877_I0323	267
BN877_I0324_locusTag_BN877_I0324	207
dnaA_locusTag_BN877_I0325	1464
BN877_I0326_locusTag_BN877_I0326	1209
BN877_I0327_locusTag_BN877_I0327	645
rph_locusTag_BN877_I0328	717
hrcA_locusTag_BN877_I0329	1092
grpE_locusTag_BN877_I0330	636
ptsN_locusTag_BN877_I0331	462
BN877_I0332_locusTag_BN877_I0332	573
rpoN_locusTag_BN877_I0333	1551
lptB_locusTag_BN877_I0334	810
BN877_I0335_locusTag_BN877_I0335	564
BN877_I0336_locusTag_BN877_I0336	666
BN877_I0337_locusTag_BN877_I0337	954
ihfB_locusTag_BN877_I0338	303
BN877_I0339_locusTag_BN877_I0339	342
BN877_I0340_locusTag_BN877_I0340	1134
BN877_I0341_locusTag_BN877_I0341	858
lspA_locusTag_BN877_I0342	489
BN877_I0343_locusTag_BN877_I0343	2247
BN877_I0344_locusTag_BN877_I0344	882
mutS_locusTag_BN877_I0345	2715
glnD_locusTag_BN877_I0346	2829
murJ_locusTag_BN877_I0347	1590
murJ_locusTag_BN877_I0348	405
BN877_I0349_locusTag_BN877_I0349	177
trpS_locusTag_BN877_I0350	1065
BN877_I0351_locusTag_BN877_I0351	492
BN877_I0352_locusTag_BN877_I0352	564
BN877_I0353_locusTag_BN877_I0353	669
BN877_I0354_locusTag_BN877_I0354	495
BN877_I0355_locusTag_BN877_I0355	429
BN877_I0356_locusTag_BN877_I0356	798
BN877_I0357_locusTag_BN877_I0357	1440
BN877_I0358_locusTag_BN877_I0358	1056
BN877_I0359_locusTag_BN877_I0359	507
BN877_I0360_locusTag_BN877_I0360	1140
lnt_locusTag_BN877_I0361	1590
BN877_I0362_locusTag_BN877_I0362	420
metK_locusTag_BN877_I0363	1263
trmB_locusTag_BN877_I0364	699
BN877_I0365_locusTag_BN877_I0365	900
BN877_I0366_locusTag_BN877_I0366	1194
def_locusTag_BN877_I0367	513
fmt_locusTag_BN877_I0368	936
truA_locusTag_BN877_I0369	801
BN877_I0370_locusTag_BN877_I0370	597
dapE_locusTag_BN877_I0371	1197
dapD_locusTag_BN877_I0372	855
BN877_I0373_locusTag_BN877_I0373	861
BN877_I0374_locusTag_BN877_I0374	2334
BN877_I0375_locusTag_BN877_I0375	945
BN877_I0376_locusTag_BN877_I0376	426
BN877_I0377_locusTag_BN877_I0377	258
BN877_I0378_locusTag_BN877_I0378	591
BN877_I0379_locusTag_BN877_I0379	714
BN877_I0380_locusTag_BN877_I0380	918
argB_locusTag_BN877_I0381	885
BN877_I0382_locusTag_BN877_I0382	123
BN877_I0383_locusTag_BN877_I0383	378
BN877_I0384_locusTag_BN877_I0384	654
oaxA_locusTag_BN877_I0385	1806
rnpA_locusTag_BN877_I0386	384
rnpA_locusTag_BN877_I0387	291
BN877_I0388_locusTag_BN877_I0388	2055
BN877_I0389_locusTag_BN877_I0389	1476
BN877_I0390_locusTag_BN877_I0390	105
BN877_ItRNA4_locusTag_BN877_ItRNA4	77
BN877_I0391_locusTag_BN877_I0391	333
BN877_I0392_locusTag_BN877_I0392	390
BN877_I0393_locusTag_BN877_I0393	828
BN877_I0394_locusTag_BN877_I0394	462
BN877_I0395_locusTag_BN877_I0395	1146
BN877_I0396_locusTag_BN877_I0396	927
BN877_I0397_locusTag_BN877_I0397	822
BN877_I0398_locusTag_BN877_I0398	1293
BN877_I0399_locusTag_BN877_I0399	801
BN877_I0400_locusTag_BN877_I0400	1497
BN877_I0401_locusTag_BN877_I0401	1326
BN877_I0402_locusTag_BN877_I0402	1038
pyrC1_locusTag_BN877_I0403	1038
pyrE_locusTag_BN877_I0404	699
scrk_locusTag_BN877_I0405	927
BN877_I0406_locusTag_BN877_I0406	1071
BN877_I0407_locusTag_BN877_I0407	729
BN877_I0408_locusTag_BN877_I0408	870
pgi_locusTag_BN877_I0409	1626
fadD_locusTag_BN877_I0410	1713
BN877_I0411_locusTag_BN877_I0411	1047
BN877_I0412_locusTag_BN877_I0412	1017
BN877_I0413_locusTag_BN877_I0413	1575
BN877_I0414_locusTag_BN877_I0414	174
fegA_locusTag_BN877_I0415	2172
BN877_I0416_locusTag_BN877_I0416	882
BN877_I0417_locusTag_BN877_I0417	393
BN877_I0418_locusTag_BN877_I0418	243
BN877_I0419_locusTag_BN877_I0419	75
BN877_I0420_locusTag_BN877_I0420	159
BN877_ItRNA39_locusTag_BN877_ItRNA39	76
BN877_I0421_locusTag_BN877_I0421	963
BN877_I0422_locusTag_BN877_I0422	1146
BN877_I0423_locusTag_BN877_I0423	897
BN877_I0424_locusTag_BN877_I0424	1269
BN877_I0425_locusTag_BN877_I0425	1035
BN877_I0426_locusTag_BN877_I0426	1485
BN877_I0427_locusTag_BN877_I0427	1320
pstB_locusTag_BN877_I0428	816
phoU_locusTag_BN877_I0429	726
phoB_locusTag_BN877_I0430	684
BN877_I0431_locusTag_BN877_I0431	534
argD_locusTag_BN877_I0432	1200
argF_locusTag_BN877_I0433	918
BN877_I0434_locusTag_BN877_I0434	237
hslO_locusTag_BN877_I0435	990
apaG_locusTag_BN877_I0436	393
metZ_locusTag_BN877_I0437	1185
BN877_Imisc_RNA_4_locusTag_BN877_Imisc_RNA_4	79
dcd_locusTag_BN877_I0438	1098
BN877_ItRNA5_locusTag_BN877_ItRNA5	74
BN877_I0439_locusTag_BN877_I0439	1194
BN877_I0440_locusTag_BN877_I0440	3462
BN877_I0441_locusTag_BN877_I0441	462
BN877_I0442_locusTag_BN877_I0442	1224
BN877_I0443_locusTag_BN877_I0443	585
BN877_I0444_locusTag_BN877_I0444	390
BN877_I0445_locusTag_BN877_I0445	828
BN877_I0446_locusTag_BN877_I0446	303
BN877_I0447_locusTag_BN877_I0447	2205
BN877_I0448_locusTag_BN877_I0448	504
BN877_I0449_locusTag_BN877_I0449	288
BN877_I0450_locusTag_BN877_I0450	1023
BN877_I0451_locusTag_BN877_I0451	90
BN877_I0452_locusTag_BN877_I0452	996
aqpZ_locusTag_BN877_I0453	726
BN877_I0454_locusTag_BN877_I0454	294
BN877_I0455_locusTag_BN877_I0455	1812
BN877_I0456_locusTag_BN877_I0456	879
BN877_I0457_locusTag_BN877_I0457	1281
BN877_I0458_locusTag_BN877_I0458	198
BN877_I0459_locusTag_BN877_I0459	1299
BN877_I0460_locusTag_BN877_I0460	753
BN877_I0461_locusTag_BN877_I0461	648
agmR_locusTag_BN877_I0462	651
BN877_I0463_locusTag_BN877_I0463	354
pyrD_locusTag_BN877_I0464	1092
BN877_I0465_locusTag_BN877_I0465	498
BN877_I0466_locusTag_BN877_I0466	267
BN877_I0467_locusTag_BN877_I0467	942
BN877_I0468_locusTag_BN877_I0468	636
BN877_I0469_locusTag_BN877_I0469	642
BN877_I0470_locusTag_BN877_I0470	462
BN877_I0471_locusTag_BN877_I0471	504
BN877_I0472_locusTag_BN877_I0472	2592
BN877_I0473_locusTag_BN877_I0473	729
BN877_I0474_locusTag_BN877_I0474	438
BN877_I0475_locusTag_BN877_I0475	828
BN877_I0476_locusTag_BN877_I0476	927
BN877_I0477_locusTag_BN877_I0477	3744
BN877_I0478_locusTag_BN877_I0478	1797
BN877_I0479_locusTag_BN877_I0479	1209
fadB_locusTag_BN877_I0480	2217
BN877_I0481_locusTag_BN877_I0481	432
BN877_ItRNA6_locusTag_BN877_ItRNA6	76
BN877_I0482_locusTag_BN877_I0482	222
BN877_I0483_locusTag_BN877_I0483	1176
phaG_locusTag_BN877_I0484	345
phaF_locusTag_BN877_I0485	282
phaE_locusTag_BN877_I0486	489
phaD_locusTag_BN877_I0487	1647
phaC_locusTag_BN877_I0488	336
phaAB_locusTag_BN877_I0489	2919
BN877_I0490_locusTag_BN877_I0490	387
mcpE_locusTag_BN877_I0491	1596
mcpE_locusTag_BN877_I0492	300
cheY1_locusTag_BN877_I0493	366
cheA_locusTag_BN877_I0494	2262
cheR_locusTag_BN877_I0495	909
cheB_locusTag_BN877_I0496	1056
cheY2_locusTag_BN877_I0497	390
cheD_locusTag_BN877_I0498	546
BN877_I0499_locusTag_BN877_I0499	384
fliF_locusTag_BN877_I0500	1683
BN877_I0501_locusTag_BN877_I0501	732
BN877_I0502_locusTag_BN877_I0502	756
BN877_I0503_locusTag_BN877_I0503	1848
BN877_I0504_locusTag_BN877_I0504	3522
mscL_locusTag_BN877_I0505	429
BN877_I0506_locusTag_BN877_I0506	1167
galE1_locusTag_BN877_I0507	1032
BN877_I0508_locusTag_BN877_I0508	837
BN877_I0509_locusTag_BN877_I0509	228
BN877_I0510_locusTag_BN877_I0510	624
infA_locusTag_BN877_I0511	219
BN877_I0512_locusTag_BN877_I0512	489
BN877_I0513_locusTag_BN877_I0513	474
hisD_locusTag_BN877_I0514	1299
BN877_I0515_locusTag_BN877_I0515	441
murA_locusTag_BN877_I0516	1293
BN877_I0517_locusTag_BN877_I0517	267
BN877_ItRNA7_locusTag_BN877_ItRNA7	75
flaD1_locusTag_BN877_I0518	1212
flaB_locusTag_BN877_I0519	1212
BN877_I0520_locusTag_BN877_I0520	162
flaA_locusTag_BN877_I0521	1185
fliP_locusTag_BN877_I0522	738
fliP_locusTag_BN877_I0523	501
flgH_locusTag_BN877_I0524	720
flgH_locusTag_BN877_I0525	537
flgI_locusTag_BN877_I0526	1122
flgA_locusTag_BN877_I0527	489
flgG_locusTag_BN877_I0528	789
fliE_locusTag_BN877_I0529	336
flgC_locusTag_BN877_I0530	420
flgB_locusTag_BN877_I0531	393
BN877_I0532_locusTag_BN877_I0532	564
fliI_locusTag_BN877_I0533	1407
flgF_locusTag_BN877_I0534	735
BN877_I0535_locusTag_BN877_I0535	813
motA_locusTag_BN877_I0536	873
fliM_locusTag_BN877_I0537	960
fliN_locusTag_BN877_I0538	540
fliG_locusTag_BN877_I0539	1044
flhB_locusTag_BN877_I0540	1083
BN877_I0541_locusTag_BN877_I0541	438
flaD2_locusTag_BN877_I0542	1317
BN877_I0543_locusTag_BN877_I0543	651
motB_locusTag_BN877_I0544	1305
motC_locusTag_BN877_I0545	1272
motC_locusTag_BN877_I0546	1359
BN877_I0547_locusTag_BN877_I0547	558
ftcR_locusTag_BN877_I0548	672
flgE_locusTag_BN877_I0549	1281
flgK_locusTag_BN877_I0550	1494
flgL_locusTag_BN877_I0551	1104
flaF_locusTag_BN877_I0552	345
flbT_locusTag_BN877_I0553	450
flgD_locusTag_BN877_I0554	471
fliQ_locusTag_BN877_I0555	267
flhA_locusTag_BN877_I0556	2088
fliR_locusTag_BN877_I0557	756
BN877_I0558_locusTag_BN877_I0558	420
BN877_I0559_locusTag_BN877_I0559	558
BN877_I0560_locusTag_BN877_I0560	369
BN877_I0561_locusTag_BN877_I0561	540
BN877_I0562_locusTag_BN877_I0562	675
BN877_I0563_locusTag_BN877_I0563	1773
folD_locusTag_BN877_I0564	900
aglR_locusTag_BN877_I0565	1026
aglE_locusTag_BN877_I0566	1362
aglF_locusTag_BN877_I0567	1014
aglG_locusTag_BN877_I0568	1161
aglA1_locusTag_BN877_I0569	1686
BN877_I0570_locusTag_BN877_I0570	1089
BN877_I0571_locusTag_BN877_I0571	414
BN877_I0572_locusTag_BN877_I0572	1365
edd_locusTag_BN877_I0573	1821
pgl_locusTag_BN877_I0574	699
zwf_locusTag_BN877_I0575	1476
ordL_locusTag_BN877_I0576	1287
BN877_I0577_locusTag_BN877_I0577	1440
yhiN_locusTag_BN877_I0578	1182
BN877_I0579_locusTag_BN877_I0579	348
BN877_I0580_locusTag_BN877_I0580	873
BN877_I0581_locusTag_BN877_I0581	255
aceA_locusTag_BN877_I0582	1290
BN877_I0583_locusTag_BN877_I0583	1416
potF1_locusTag_BN877_I0584	1098
potG1_locusTag_BN877_I0585	1158
potH1_locusTag_BN877_I0586	909
potI1_locusTag_BN877_I0587	813
BN877_I0588_locusTag_BN877_I0588	1725
BN877_I0589_locusTag_BN877_I0589	3738
BN877_ItRNA8_locusTag_BN877_ItRNA8	77
BN877_I0590_locusTag_BN877_I0590	1632
ftsJ_locusTag_BN877_I0591	804
BN877_I0592_locusTag_BN877_I0592	1398
BN877_I0593_locusTag_BN877_I0593	1005
guaB_locusTag_BN877_I0594	1506
BN877_I0595_locusTag_BN877_I0595	420
adhA_locusTag_BN877_I0596	1029
BN877_I0597_locusTag_BN877_I0597	876
moaB_locusTag_BN877_I0598	576
ispE_locusTag_BN877_I0599	900
BN877_I0600_locusTag_BN877_I0600	1893
ispB_locusTag_BN877_I0601	1017
BN877_I0602_locusTag_BN877_I0602	231
BN877_I0603_locusTag_BN877_I0603	801
BN877_I0604_locusTag_BN877_I0604	867
BN877_I0605_locusTag_BN877_I0605	195
BN877_I0606_locusTag_BN877_I0606	981
glyQ_locusTag_BN877_I0607	954
BN877_I0608_locusTag_BN877_I0608	396
lemA_locusTag_BN877_I0609	552
aroA_locusTag_BN877_I0610	1278
BN877_I0611_locusTag_BN877_I0611	1938
glyS_locusTag_BN877_I0612	2154
BN877_I0613_locusTag_BN877_I0613	249
BN877_I0614_locusTag_BN877_I0614	495
BN877_I0615_locusTag_BN877_I0615	1824
BN877_I0616_locusTag_BN877_I0616	516
purD_locusTag_BN877_I0617	1272
