AMPJ01000001.1	gi|410375149|gb|AMPJ01000001.1|
AMPJ01000080.1	gi|410372335|gb|AMPJ01000080.1|
AMPJ01000081.1	gi|410372261|gb|AMPJ01000081.1|
AMPJ01000082.1	gi|410372161|gb|AMPJ01000082.1|
AMPJ01000083.1	gi|410372047|gb|AMPJ01000083.1|
AMPJ01000084.1	gi|410371951|gb|AMPJ01000084.1|
AMPJ01000085.1	gi|410371817|gb|AMPJ01000085.1|
AMPJ01000086.1	gi|410371739|gb|AMPJ01000086.1|
AMPJ01000087.1	gi|410371644|gb|AMPJ01000087.1|
AMPJ01000088.1	gi|410371532|gb|AMPJ01000088.1|
AMPJ01000089.1	gi|410371424|gb|AMPJ01000089.1|
AMPJ01000090.1	gi|410371266|gb|AMPJ01000090.1|
AMPJ01000091.1	gi|410371123|gb|AMPJ01000091.1|
AMPJ01000092.1	gi|410371044|gb|AMPJ01000092.1|
AMPJ01000093.1	gi|410370844|gb|AMPJ01000093.1|
AMPJ01000094.1	gi|410370744|gb|AMPJ01000094.1|
AMPJ01000095.1	gi|410370627|gb|AMPJ01000095.1|
AMPJ01000096.1	gi|410370489|gb|AMPJ01000096.1|
AMPJ01000097.1	gi|410370311|gb|AMPJ01000097.1|nif_deleted_170399_170870_193666_194653
AMPJ01000098.1	gi|410369991|gb|AMPJ01000098.1|
AMPJ01000099.1	gi|410369984|gb|AMPJ01000099.1|
AMPJ01000100.1	gi|410369981|gb|AMPJ01000100.1|
AMPJ01000101.1	gi|410369976|gb|AMPJ01000101.1|
AMPJ01000102.1	gi|410369972|gb|AMPJ01000102.1|
AMPJ01000103.1	gi|410369962|gb|AMPJ01000103.1|
AMPJ01000104.1	gi|410369958|gb|AMPJ01000104.1|
AMPJ01000105.1	gi|410369956|gb|AMPJ01000105.1|
AMPJ01000106.1	gi|410369954|gb|AMPJ01000106.1|
AMPJ01000107.1	gi|410369949|gb|AMPJ01000107.1|
AMPJ01000108.1	gi|410369947|gb|AMPJ01000108.1|
AMPJ01000109.1	gi|410369944|gb|AMPJ01000109.1|
AMPJ01000110.1	gi|410369942|gb|AMPJ01000110.1|
AMPJ01000111.1	gi|410369807|gb|AMPJ01000111.1|
AMPJ01000112.1	gi|410369800|gb|AMPJ01000112.1|
AMPJ01000113.1	gi|410369798|gb|AMPJ01000113.1|
AMPJ01000114.1	gi|410369787|gb|AMPJ01000114.1|
synnifI4	synnifI4
