gene	syn	description	protein	fun_desc	essential
acnB	"yacI, yacJ"	Aconitase B; 2-methylaconitate hydratase; apo-enzyme binds mRNA for negative translational autoregulation; iron-sulfur cluster; monomeric	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	"Enzyme; Energy metabolism, carbon: TCA cycle"	N
acpH	"acpD, yajB"	Acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase	conserved protein	Orf; Not classified	N
acpP	None	Acyl carrier protein ACP	acyl carrier protein (ACP)	Carrier; Fatty acid and phosphatidic acid biosynthesis	N
acpS	dpj	ACP-CoA phosphopantetheinyltransferase; Holo-ACP synthase	holo-[acyl-carrier-protein] synthase 1	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
acpT	yhhU	"CoA-phosphopantetheinyltransferase; native apo-protein substrate unknown, possibly a back-up gene for acpS; multicopy suppressor of acpS1, can modify ACP when overexpressed"	holo-(acyl carrier protein) synthase 2	Null	N
acrA	"lir, Mb, mbl, mtcA, nbsA, sipB"	"AcrAB-TolC multidrug efflux pump; additionally dye, detergent, solvent resistance; membrane-fusion lipoprotein"	multidrug efflux system	Transport; Drug/analog sensitivity	N
acrB	acrE	"AcrAB-TolC multidrug efflux pump; additionally dye, detergent and solvent resistance; RND-type transporter"	multidrug efflux system protein	Transport; Drug/analog sensitivity	N
acrD	yffA	Aminoglycoside efflux pump; RND-type transporter	aminoglycoside/multidrug efflux system	Putative transport; Drug/analog sensitivity	N
acrE	envC	"AcrEF-TolC efflux pump, multidrug/solvent resistance; membrane-fusion lipoprotein"	cytoplasmic membrane lipoprotein	Membrane; Inner membrane	N
acrF	envD	"AcrEF-TolC efflux pump, multidrug/solvent resistance; osmotically remedial envelope defect"	multidrug efflux system protein	Membrane; Drug/analog sensitivity	N
acrR	ybaH	Transcriptional repressor for acrAB	DNA-binding transcriptional repressor	Regulator; Drug/analog sensitivity	N
acrZ	ybhT	"AcrAB-TolC efflux pump accessory protein, membrane-associated"	"AcrAB-TolC efflux pump accessory protein, membrane-associated "	Null	N
acs	"acsA, yfaC"	"Acetyl CoA synthase, acetate-scavenging enzyme, improves carbon starvation survival"	acetyl-CoA synthetase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	N
actP	yjcG	Acetate permease	acetate transporter	"4.2.A.21 transport; Electrochemical potential driven transporters; Porters (Uni-, Sym- and Antiporters); The Solute:Sodium Symporter (SSS) Family|6.1 cell structure; membrane|7.3 location of gene products; inner membrane"	N
acuI	yhdH	Putative acryloyl-CoA reductase	predicted acryloyl-CoA reductase	Putative enzyme; Not classified	N
ada	None	"O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)"	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	"Enzyme; DNA - replication, repair, restriction/modification"	N
add	None	Adenosine deaminase	adenosine deaminase	Enzyme; Salvage of nucleosides and nucleotides	N
ade	"adeC(B.s.), adu, yicP"	Cryptic (or inducer-unknown) adenine deaminase; can be activated by hns mutation or IS elements; adenine aminohydrolase	cryptic adenine deaminase	Putative enzyme; Purine ribonucleotide biosynthesis	N
adhE	"adhC, ana"	"Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance"	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	"Enzyme; Energy metabolism, carbon: Fermentation"	N
adhP	yddN	Ethanol-active dehydrogenase/acetaldehyde-active reductase	ethanol-active dehydrogenase/acetaldehyde-active reductase	"Enzyme; Energy metabolism, carbon: Anaerobic respiration"	N
adiA	adi	"Arginine decarboxylase, acid-inducible; arginine-dependent acid resistance"	arginine decarboxylase	Enzyme; Degradation of small molecules: Amino acids	N
adiC	"aniC(S.t.), yjdD, yjdE"	Arginine:agmatine antiporter; arginine-dependent acid resistance; acid-inducible membrane protein	arginine:agmatin	Putative transport; Not classified	N
adiY	None	"Transcriptional activator for adiA, AraC family "	DNA-binding transcriptional activator	Putative regulator; Not classified	N
adk	"dnaW, plsA"	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric	adenylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Y
aegA	yffG	"Predicted oxidoreductase, Fe-S subunit; induced by anaerobiosis, repressed by NO3; ygfT paralog"	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit	Putative enzyme; Not classified	N
aer	"air, yqjJ"	"Aerotaxis and redox taxis sensor; flavoprotein; senses intracellular energy (redox) levels, and mediates energy taxis, as does Tsr"	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component	"Regulator; Degradation of small molecules: Carbon compounds|5.3 cell processes; motility (incl. chemotaxis, energytaxis, aerotaxis, redoxtaxis)|6.1 cell structure; membrane|7.3 location of gene products; inner membrane"	N
aes	ybaC	Short acyl chain and triacetyl glycerol esterase; affects maltose gene expression	acetyl esterase	Orf; Not classified	N
afuC	"fbpC, yagC"	"Predicted ferric iron ABC transporter ATP-binding protein; orphan; part of a defective ABC transporter, probably silent; CP4-6 prophage remnant; missing its promoter and co-functional components; homologous to an iron-uptake system gene in Actinobacillus"	CP4-6 prophage; predicted ferric transporter subunit	Putative transport; Not classified; Phage or Prophage Related	N
agaB	yraD	Putative PTS system N-acetylgalactosamine-specific enzyme IIB component 	N-acetylgalactosamine-specific enzyme IIB component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	N
agaC	yraE	"Enzyme IIC Nag, PTS system; N-acetylgalactosamine-specific enzyme IIC; EIIC-Nag"	N-acetylgalactosamine-specific enzyme IIC component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	N
agaD	yraF	"Enzyme IID Nag, PTS system; N-acetylgalactosamine-specific enzyme IID; EIID-Nag; remnant of aga operon"	N-acetylgalactosamine-specific enzyme IID component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	N
agaI	yraG	Galactosamine-6-phosphate isomerase	galactosamine-6-phosphate isomerase	Putative enzyme; Not classified	N
agaR	yhaW	aga regulon transcriptional repressor	DNA-binding transcriptional repressor of the aga regulon	Regulator; Not classified	N
agaS	yraB	Tagatose-6-phosphate ketose/aldose isomerase	tagatose-6-phosphate ketose/aldose isomerase	Putative enzyme; Not classified	N
agaV	yhaY	"Enzyme IIB Nag, PTS system; N-acetylgalactosamine-specific enzyme IIB; EIIB-Nag"	N-acetylgalactosamine-specific enzyme IIB component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	N
agp	None	"Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity"	glucose-1-phosphatase/inositol phosphatase	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
ahpC	tpx	"Alkyl hydroperoxide reductase, subunit C; reduced by the AhpF subunit"	"alkyl hydroperoxide reductase, C22 subunit"	Enzyme; Detoxification	N
ahpF	None	"Alkyl hydroperoxide reductase, subunit F; NAD(P)H:peroxiredoxin oxidoreductase, reduces AhpC; contains one FAD/monomer"	"alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding"	Enzyme; Detoxification	N
aidB	None	"Flavin-containing, DNA binding protein; low level isovaleryl CoA dehydrogenase activity; Ada-regulated adaptive response to DNA methylation damage"	isovaleryl CoA dehydrogenase	Putative enzyme; Not classified	N
ais	"pagH(S.t.), pmrG(S.t.)"	Predicted LPS core heptose(II)-phosphate phosphatase; aluminum-inducible protein; Salmonella ortholog is regulated by PmrAB(BasRS)	predicted LPS core heptose(II)-phosphate phosphatase	Phenotype; Not classified	N
alaA	yfbQ	Valine--pyruvate aminotransferase 2; glutamic-pyruvic transaminase (GPT)	valine-pyruvate aminotransferase 2	Enzyme; Amino acid biosynthesis: Alanine	N
alaC	yfdZ	Valine--pyruvate aminotransferase 3; glutamic-pyruvic transaminase (GPT)	valine-pyruvate aminotransferase 3	Enzyme; Amino acid biosynthesis: Alanine	N
alaE	ygaW	"Alanine exporter, inducible; stress-responsive"	"alanine exporter, alanine-inducible, stress-responsive"	Null	N
alaS	"act, ala-act, lovB"	Alanine--tRNA ligase	alanyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
alaT	talA	Alanine tRNA(UGC) 1B	Null	Null	N
alaU	talD	Alanine tRNA(UGC) 1B	Null	Null	N
alaV	None	Alanine tRNA(UGC) 1B	Null	Null	N
alaW	alaWalpha	Alanine tRNA(GGC) 2; tandemly duplicated	Null	Null	N
alaX	alaWbeta	Alanine tRNA(GGC) 2; tandemly duplicated alaW	Null	Null	N
aldA	ald	"Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes"	"aldehyde dehydrogenase A, NAD-linked"	"Enzyme; Energy metabolism, carbon: Fermentation"	N
aldB	yiaX	"Aldehyde dehydrogenase, NADP-dependent; tetrameric"	aldehyde dehydrogenase B	Enzyme; Degradation of small molecules: Carbon compounds	N
alkA	aidA	"3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine"	3-methyl-adenine DNA glycosylase II	"Enzyme; DNA - replication, repair, restriction/modification"	N
alkB	aidD	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	"Putative enzyme; DNA - replication, repair, restriction/modification"	N
allA	"glxA2, ybbT"	Ureidoglycolate hydrolase: allantoin for anaerobic nitrogen	ureidoglycolate hydrolase	Null	N
allB	"glxB3, ybbX"	Allantoinase: allantoin for anaerobic nitrogen; tetrameric	allantoinase	Putative enzyme; Not classified	N
allC	"glxB7, ylbB"	Allantoate amidohydrolase: allantoin for anaerobic nitrogen	allantoate amidohydrolase	Phenotype; Not classified	N
allD	"glxB8, ylbC"	Ureidoglycolate dehydrogenase: allantoin for anaerobic nitrogen	ureidoglycolate dehydrogenase	Putative enzyme; Not classified	N
allR	"glxA3, ybbU"	Repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced 	Putative regulator; Not classified	N
allS	"glxA1, ybbS"	Transcriptional activator for the allD operon	DNA-binding transcriptional activator of the allD operon	Putative regulator; Not classified	N
alpA	None	"Alp protease, CP4-57 putative defective prophage; regulates intA (slp [suppressor of Lon])"	CP4-57 prophage; DNA-binding transcriptional activator	"IS, phage, Tn; Phage or Prophage Related"	N
alr	None	Alanine racemase	"alanine racemase 1, PLP-binding, biosynthetic"	Enzyme; Amino acid biosynthesis: Alanine	N
alsA	yjcW	D-allose ABC transporter ATP-binding protein	fused D-allose transporter subunits of ABC superfamily: ATP-binding components	Putative transport; Not classified	N
alsB	yjcX	"D-allose-binding protein, periplasmic"	D-allose transporter subunit	Putative regulator; Not classified	N
alsC	yjcV	"D-allose transport, membrane component"	D-allose transporter subunit	Putative transport; Not classified	N
alsE	yjcU	D-allulose-6-phosphate 3-epimerase	allulose-6-phosphate 3-epimerase	Putative enzyme; Not classified	N
alsK	yjcT	D-allose kinase	D-allose kinase	Putative regulator; Not classified	N
alx	ygjT	"Predicted transporter, alkali-induced riboswitch; inner membrane protein, function unknown"	"inner membrane protein, part of terminus"	Putative transport; Not classified	N
amiA	yfeE	"N-acetylmuramyl-L-alanine amidase, periplasmic; role in septal cleavage during cell division; activated by EnvC"	N-acetylmuramoyl-l-alanine amidase I	"Enzyme; Murein sacculus, peptidoglycan"	N
amiB	yjeD	"N-acetylmuramyl-L-alanine amidase, periplasmic; role in septal cleavage during cell division; overexpression causes lysis, osmotic hypersensitivity; activated by EnvC"	N-acetylmuramoyl-l-alanine amidase II	"Enzyme; Murein sacculus, peptidoglycan"	N
amiC	ygdN	"N-acetylmuramyl-L-alanine amidase, periplasmic; recruited to the septal ring by FtsN during cell division; overexpression causes lysis; activated by NlpD"	N-acetylmuramoyl-L-alanine amidase	Putative enzyme; Not classified	N
amiD	ybjR	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; verified OM lipoprotein"	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein"	Putative regulator; Not classified	N
amn	None	AMP nucleosidase	AMP nucleosidase	Enzyme; Salvage of nucleosides and nucleotides	N
ampC	ampA	Intrinsic weak beta-lactamase activity; penicillin resistance; affects morphology; penicillin-binding protein	beta-lactamase/D-alanine carboxypeptidase	Enzyme; Drug/analog sensitivity	N
ampD	None	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"	Regulator; Not classified	N
ampE	None	Ampicillin resistance; membrane protein	predicted inner membrane protein	Regulator; Drug/analog sensitivity	N
ampG	None	"Muropeptide permease, imports GlcNAc-anhMurNAc-peptides; required for cloned Citrobacter freundii AmpR-regulated beta-lactamase induction and murein recycling"	muropeptide transporter	Regulator; Drug/analog sensitivity	N
ampH	yaiH	"Probable role in peptidoglycan, cell wall synthesis, and cell morphology; penicillin-binding protein; beta-lactamase homolog with no beta-lactamase activity"	penicillin-binding protein	Putative enzyme; Not classified	N
amtB	ybaG	"Ammonia gas channel; sequesters GlnK, a negative regulator of AmtB activity, to the inner membrane; bi-directional facilitated diffusion"	ammonium transporter	"Putative transport; Central intermediary metabolism: Pool, multipurpose conversions"	N
amyA	yedC	"alpha-Amylase, cytoplasmic"	cytoplasmic alpha-amylase	Enzyme; Degradation of polysaccharides	N
anmK	ydhH	"Anhydro-N-acetylmuramic acid kinase, murein recycling"	anhydro-N-acetylmuramic acid kinase	Enzyme: Murein recycling	N
ansA	None	L-Asparaginase I	cytoplasmic L-asparaginase I	Enzyme; Degradation of small molecules: Amino acids	N
ansB	None	L-Asparaginase II	periplasmic L-asparaginase II	Enzyme; Degradation of small molecules: Amino acids	N
ansP	yncF	L-Asparagine permease	L-asparagine transporter	"Transport; Transport of small molecules: Amino acids, amines"	N
apaG	"corD(S.t.), temP"	"Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH"	protein associated with Co2+ and Mg2+ efflux	Null	N
apaH	cfcB	"Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical"	diadenosine tetraphosphatase	Enzyme; Salvage of nucleosides and nucleotides	N
apbE	"yojK, yojL"	Lipoprotein involved in thiamine synthesis; primarily characterized in Salmonella	predicted thiamine biosynthesis lipoprotein	Null	N
aphA	"hobH, napA, yjbP"	"Acid phosphatase, periplasmic, class B, nucleotidase; active on 3'- and 5'-mononucleotides and monodeoxynucleotides; glucose-repressed; monomeric"	"acid phosphatase/phosphotransferase, class B, non-specific"	Enzyme; Central intermediary metabolism: Nucleotide hydrolysis	N
appA	None	"Acid phosphatase, pH 2.5, exopolyphosphatase; phytase"	phosphoanhydride phosphorylase	"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions"	N
appB	"cbdB, cyxB"	Cytochrome bd-II oxidase subunit II	"cytochrome bd-II oxidase, subunit II"	"Putative enzyme; Energy metabolism, carbon: Electron transport"	N
appC	"cbdA, cyxA"	Cytochrome bd-II oxidase subunit I	"cytochrome bd-II oxidase, subunit I"	"Putative enzyme; Energy metabolism, carbon: Electron transport"	N
appY	None	"Global transcription regulator, AraC family, DLP12 prophage"	DNA-binding global transcriptional activator; DLP12 prophage	"Regulator; Central intermediary metabolism: Pool, multipurpose conversions; Phage or Prophage Related"	N
apt	None	"Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade"	adenine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	N
aqpZ	bniP	"Aquaporin Z, glycerol and water channel; RpoS regulon"	aquaporin Z	Transport; Transport of small molecules: Other	N
araA	None	L-Arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	L-arabinose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	N
araB	None	Ribulokinase	L-ribulokinase	Enzyme; Degradation of small molecules: Carbon compounds	N
araC	None	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator	DNA-binding transcriptional dual regulator	Regulator; Degradation of small molecules: Carbon compounds	N
araD	None	L-ribulose-5-phosphate 4-epimerase	L-ribulose-5-phosphate 4-epimerase	Enzyme; Degradation of small molecules: Carbon compounds	N
araE	None	Low-affinity L-arabinose transport; L-arabinose proton symport	arabinose transporter	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
araF	None	"L-Arabinose-binding protein, periplasmic"	L-arabinose transporter subunit	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
araG	None	Arabinose ABC transporter ATP-binding protein	fused L-arabinose transporter subunits of ABC superfamily: ATP-binding components	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols"	N
araH	None	"High-affinity L-arabinose transport, membrane protein"	fused L-arabinose transporter subunits of ABC superfamily: membrane components	"Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols|1.1.1 metabolism; carbon utilization; carbon compounds|4.3.A.1.m transport; Primary Active Transporters; Pyrophosphate Bond (ATP, GTP, P2) Hydrolysis-driven Active Transporters; The ATP-binding Cassette (ABC) Superfamily + ABC-type Uptake Permeases; ABC superfamily, membrane component|6.1 cell structure; membrane|7.3 location of gene products; inner membrane|4.S.100 transport; substrate; L-arabinose"	N
araJ	None	"Arabinose-inducible MFS family transporter, function unknown; not involved in arabinose uptake or utilization"	"arabinose-inducible predicted transporter, MFS family"	Transport; Degradation of small molecules: Carbon compounds	N
arcA	"cpxC, dye, fexA, msp, seg, sfrA"	"Response regulator, represses aerobic genes during anaerobic growth; also activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor"	DNA-binding response regulator in two-component regulatory system with ArcB or CpxA	Regulator; Global regulatory functions	N
arcB	None	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB	"aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB"	Enzyme; Global regulatory functions	N
arcZ	"psrA16, ryhA, sraH"	sRNA positive antisense regulator of rpoS; binds Hfq	Null	Null	N
arfA	yhdL	"Alternative stalled-ribosome rescue factor A; binds 50S ribosomal subunits, synthetic lethal with ssrA; recruits RF-2"	Alternate ribosome-rescue factor A	Null	N
arfB	yaeJ	"Alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached"	"Alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached"	Null	N
argA	"Arg1, Arg2, argB"	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine	fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase	Enzyme; Amino acid biosynthesis: Arginine	N
argB	None	N-acetylglutamate kinase	acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N
argC	"Arg2, argH"	N-acetyl-gamma-glutamyl-phosphate reductase	"N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding"	Enzyme; Amino acid biosynthesis: Arginine	N
argD	"alaB, Arg1, argG, dapC, dtu"	"Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent"	bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase	Enzyme; Amino acid biosynthesis: Arginine	N
argE	"Arg4, argA"	Acetylornithine deacetylase	acetylornithine deacetylase	Enzyme; Amino acid biosynthesis: Arginine	N
argF	"Arg5, argD"	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	"ornithine carbamoyltransferase 2, chain F; CP4-6 prophage"	Enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	N
argG	"Arg6, argE"	Argininosuccinate synthase	argininosuccinate synthetase	Enzyme; Amino acid biosynthesis: Arginine	N
argH	None	Argininosuccinate lyase	argininosuccinate lyase	Enzyme; Amino acid biosynthesis: Arginine	N
argI	None	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase	ornithine carbamoyltransferase 1	Enzyme; Amino acid biosynthesis: Arginine	N
argK	"meaB, scpK?, ygfD"	"Required to convert succinate to propionate, Arg transport?; reported to have ATPase and protein kinase activity"	membrane ATPase/protein kinase	Phenotype; Not classified	N
argO	yggA	Arginine exporter	arginine transporter	Null	N
argP	"can, canR, iciA"	"Inhibitor of chromosome initiation, transcriptional activator, LysR family; oriC iteron (13-mer) binding protein, competes with DnaA for iteron binding"	"DNA-binding transcriptional activator, replication initiation inhibitor"	"Regulator; DNA - replication, repair, restriction/modification"	N
argQ	argVdelta	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	Null	N
argR	"Rarg, xerA"	Repressor of Arg regulon; cer-mediated site-specific recombination in plasmid ColE1; hexameric	"DNA-binding transcriptional dual regulator, L-arginine-binding"	Regulator; Amino acid biosynthesis: Arginine	N
argS	lov	Arginine--tRNA ligase	arginyl-tRNA synthetase	"Enzyme; Aminoacyl tRNA synthetases, tRNA modification"	Y
argT	None	"Lys-, Arg-, and Orn-binding protein, periplasmic"	lysine/arginine/ornithine transporter subunit	"Transport; Transport of small molecules: Amino acids, amines"	N
argU	"argW(S.t.), dnaY, fimU(S.t.), pin"	Arginine tRNA(UCU) 4	Null	Null	N
argV	argValpha	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	Null	N
argW	None	Arginine tRNA(CCU) 5	Null	Null	N
argX	None	Arginine tRNA(CCG) 3	Null	Null	N
argY	argVbeta	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	Null	N
argZ	argVgamma	Arginine tRNA(ACG) 2; tandem quadruplicate genes	Null	Null	N
ariR	ymgB	Connector protein for RcsB regulation of biofilm and acid-resistance	connector protein for RcsB regulation of biofilm and acid-resistance	Null	N
arnA	"pbgP3(S.t.), pmrI(S.t.), SAF, yfbG"	UDP-glucuronate dehydrogenase and UDP-ara4N formyltransferase	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase	Putative enzyme; Not classified	N
arnB	"pgbP1(S.t.), pmrH(S.t.), yfbE"	UDP-4-amino-4-deoxy-L-arabinose synthase; UDP-4-ketopentose aminotransferase; L-glutamate is the amine donor	"uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent"	Putative enzyme; Not classified	N
arnC	"ORF2, pmrF(S.t.), yfbF"	Undecaprenyl phosphate-aminoarabinose synthase	undecaprenyl phosphate-L-Ara4FN transferase	Putative enzyme; Not classified	N
arnD	"pbgP4(S.t.), pmrJ(S.t.), yfbH"	Undecaprenyl phosphate-aminoarabinose deformylase	Undecaprenyl phosphate-alpha-L-ara4FN deformylase	Null	N
arnE	"pbgE2(S.t.), pmrL(S.t.), yfbW"	Undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	Transport; Transport of small molecules: lipids	N
arnF	"pbgE3(S.t.), pmrM(S.t.), yfbJ"	Undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	undecaprenyl phosphate-alpha-L-ara4N exporter; flippase ArnEF subunit	Transport; Transport of small molecules: lipids	N
